Edge,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
"(65324849, 65336534, 0)",2,5.0,"(2.76, 8.16)",16.0,0.0,0.1899799999999999,"(0.05, 0.33)","{'+': 3, 'p': 1, '-': 1}","{'whislo': 0, 'q1': 3.0, 'med': 4.0, 'q3': 8.0, 'whishi': 16, 'fliers': [16]}","{'whislo': 0.0833, 'q1': 0.0833, 'med': 0.1833, 'q3': 0.25, 'whishi': 0.35, 'fliers': []}",13
"(65324852, 10946845802, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65324852, 10946845802, 0)",1,10.0,"(7.14, 12.52)",12.0,6.0,,,{},"{'whislo': 6, 'q1': 8.25, 'med': 10.5, 'q3': 12.0, 'whishi': 12, 'fliers': []}",{'points': []},6
"(65324852, 10946845802, 0)",0,11.0,"(-65.24, 87.24)",17.0,0.0,0.55,,{'+': 1},"{'points': [17, 5]}",{'points': [0.55]},2
"(65324852, 10946845802, 0)",2,7.0,"(2.0, 12.31)",20.0,0.0,0.4,,{'+': 1},"{'whislo': 0, 'q1': 0.0, 'med': 1.0, 'q3': 16.0, 'whishi': 20, 'fliers': []}",{'points': [0.4]},13
"(65324852, 65324854, 0)",3,18.0,"(-1.56, 36.56)",19.0,16.0,,,{},"{'points': [19, 16]}",{'points': []},2
"(65324854, 65324856, 0)",3,13.0,,13.0,13.0,,,{},{'points': [13]},{'points': []},1
"(65336534, 65317386, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65336534, 65317386, 0)",1,8.0,,8.0,8.0,,,{},{'points': [8]},{'points': []},1
"(65336534, 65317386, 0)",0,16.0,,16.0,16.0,,,{},{'points': [16]},{'points': []},1
"(65336534, 65317386, 0)",2,13.0,"(7.69, 18.06)",19.0,1.0,,,{},"{'whislo': 1, 'q1': 9.0, 'med': 14.5, 'q3': 17.5, 'whishi': 19, 'fliers': []}",{'points': []},8
"(65336534, 65324849, 0)",-1,,,,,,,{},{'points': []},{'points': []},0
"(65336534, 65324849, 0)",1,1.0,"(-11.71, 13.71)",2.0,0.0,,,{},"{'points': [2, 0]}",{'points': []},2
"(65336534, 65324849, 0)",0,16.0,,16.0,16.0,,,{},{'points': [16]},{'points': []},1
"(65336534, 65324849, 0)",2,10.0,"(-2.2, 22.2)",23.0,0.0,,,{},"{'whislo': 0, 'q1': 2.0, 'med': 8.0, 'q3': 17.0, 'whishi': 23, 'fliers': []}",{'points': []},5
