Node,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
65287260,0,9.0,"(6.46, 11.76)",13.0,0.0,0.75835,"(-1.68, 3.19)","{'(6910272811, 65287260, 0)': 1, '(65287260, 6910272811, 0)': 1}","{'whislo': 3, 'q1': 8.0, 'med': 10.0, 'q3': 12.0, 'whishi': 12, 'fliers': []}","{'points': [0.95, 0.5667]}",9
65287260,2,7.0,"(5.53, 7.79)",15.0,0.0,0.38194999999999996,"(0.27, 0.49)","{'(65313365, 65287260, 0)': 4, '(6910272811, 65287260, 0)': 13, '(65287260, 65313365, 0)': 4, '(65287260, 6910272811, 0)': 3}","{'whislo': 0, 'q1': 3.5, 'med': 6.0, 'q3': 11.0, 'whishi': 15, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.2, 'med': 0.29169999999999996, 'q3': 0.5458000000000001, 'whishi': 0.95, 'fliers': []}",59
65287261,-1,,,,,,,{},{'points': []},{'points': []},0
65287261,1,11.0,"(6.82, 14.23)",23.0,0.0,0.31666666666666665,"(-0.83, 1.47)","{'(65287262, 65287261, 0)': 2, '(65287261, 65287262, 0)': 1}","{'whislo': 0, 'q1': 2.0, 'med': 11.0, 'q3': 17.0, 'whishi': 23, 'fliers': []}","{'points': [0.0167, 0.0833, 0.85]}",21
65287261,0,4.0,"(-6.75, 14.35)",19.0,0.0,,,{},"{'whislo': 0, 'q1': 0.0, 'med': 0.0, 'q3': 0.0, 'whishi': 19, 'fliers': [19]}",{'points': []},5
65287261,2,8.0,"(5.45, 11.03)",25.0,0.0,0.5,"(0.2, 0.8)","{'(65287262, 65287261, 0)': 8, '(65287261, 65287262, 0)': 2, '(65308334, 65287261, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 7.0, 'q3': 16.0, 'whishi': 25, 'fliers': []}","{'whislo': 0.0167, 'q1': 0.06665, 'med': 0.4167, 'q3': 0.775, 'whishi': 1.2667, 'fliers': []}",38
65287262,-1,7.0,"(-5.8, 19.8)",19.0,0.0,0.23335,"(-0.61, 1.08)","{'(65287262, 65287261, 0)': 2}","{'whislo': 0, 'q1': 0.75, 'med': 5.5, 'q3': 11.75, 'whishi': 17, 'fliers': []}","{'points': [0.1667, 0.3]}",4
65287262,1,17.0,"(13.59, 20.31)",26.0,0.0,0.16665000000000002,"(0.03, 0.3)","{'(65287262, 65287265, 0)': 2, '(65287261, 65287262, 0)': 3, '(65287262, 65287261, 0)': 5}","{'whislo': 0, 'q1': 13.0, 'med': 18.0, 'q3': 23.0, 'whishi': 26, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.04165, 'med': 0.1, 'q3': 0.195825, 'whishi': 0.6333, 'fliers': [0.6333]}",21
65287262,0,17.0,"(11.66, 21.84)",19.0,12.0,,,{},"{'whislo': 12, 'q1': 16.5, 'med': 18.0, 'q3': 18.25, 'whishi': 19, 'fliers': [12]}",{'points': []},4
65287262,2,14.0,"(12.46, 16.0)",29.0,0.0,0.4291666666666667,"(0.19, 0.67)","{'(65287262, 65287261, 0)': 10, '(65287261, 65287262, 0)': 2}","{'whislo': 0, 'q1': 11.0, 'med': 16.0, 'q3': 17.0, 'whishi': 29, 'fliers': [1, 29, 0]}","{'whislo': 0.0333, 'q1': 0.10835, 'med': 0.43335, 'q3': 0.6416499999999999, 'whishi': 1.25, 'fliers': []}",44
65287265,-1,20.0,"(13.16, 27.5)",22.0,17.0,,,{},"{'points': [22, 22, 17]}",{'points': []},3
65287265,1,23.0,"(20.9, 24.72)",32.0,17.0,,,{},"{'whislo': 17, 'q1': 19.0, 'med': 23.0, 'q3': 26.0, 'whishi': 32, 'fliers': []}",{'points': []},21
65287265,0,22.0,"(18.25, 24.95)",25.0,19.0,,,{},"{'whislo': 19, 'q1': 20.0, 'med': 20.0, 'q3': 24.0, 'whishi': 25, 'fliers': []}",{'points': []},5
65287265,2,21.0,"(19.15, 22.09)",31.0,0.0,0.28668,"(0.16, 0.41)","{'(65287265, 65287273, 0)': 3, '(65287262, 65287265, 0)': 2}","{'whislo': 0, 'q1': 19.0, 'med': 21.0, 'q3': 24.0, 'whishi': 31, 'fliers': [2, 0]}","{'whislo': 0.2, 'q1': 0.2167, 'med': 0.2333, 'q3': 0.3667, 'whishi': 0.4167, 'fliers': []}",53
65287273,-1,20.0,,20.0,20.0,,,{},{'points': [20]},{'points': []},1
65287273,1,26.0,"(22.43, 29.57)",31.0,17.0,,,{},"{'whislo': 17, 'q1': 24.75, 'med': 27.0, 'q3': 28.25, 'whishi': 31, 'fliers': [17]}",{'points': []},8
65287273,0,22.0,"(18.74, 24.26)",24.0,20.0,,,{},"{'whislo': 20, 'q1': 20.75, 'med': 21.0, 'q3': 21.75, 'whishi': 24, 'fliers': [24]}",{'points': []},4
65287273,2,20.0,"(17.51, 21.6)",27.0,12.0,0.25,,"{'(65287277, 65287273, 0)': 1}","{'whislo': 12, 'q1': 17.25, 'med': 19.0, 'q3': 22.0, 'whishi': 27, 'fliers': []}",{'points': [0.25]},18
65287277,-1,19.0,"(11.35, 27.32)",23.0,17.0,,,{},"{'points': [23, 18, 17]}",{'points': []},3
65287277,1,18.0,"(12.0, 24.55)",29.0,0.0,,,{},"{'whislo': 0, 'q1': 12.5, 'med': 23.0, 'q3': 24.0, 'whishi': 29, 'fliers': []}",{'points': []},11
65287277,0,12.0,"(-89.65, 113.65)",20.0,4.0,,,{},"{'points': [4, 20]}",{'points': []},2
65287277,2,11.0,"(7.52, 14.2)",31.0,0.0,0.43055,"(-0.4, 1.26)","{'(65287277, 65287273, 0)': 3, '(65287277, 65287280, 0)': 1, '(65287280, 65287277, 0)': 2}","{'whislo': 0, 'q1': 0.0, 'med': 9.0, 'q3': 19.0, 'whishi': 31, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.037475, 'med': 0.08335000000000001, 'q3': 0.2667, 'whishi': 2.0333, 'fliers': [2.0333]}",35
65287280,-1,19.0,,19.0,19.0,,,{},{'points': [19]},{'points': []},1
65287280,1,23.0,"(19.78, 26.89)",29.0,19.0,0.041650000000000006,"(-0.06, 0.15)","{'(65287280, 65287277, 0)': 1, '(65287277, 65287280, 0)': 1}","{'whislo': 19, 'q1': 21.5, 'med': 23.5, 'q3': 24.0, 'whishi': 29, 'fliers': [29]}","{'points': [0.0333, 0.05]}",6
65287280,0,25.0,"(-13.12, 63.12)",28.0,22.0,,,{},"{'points': [22, 28]}",{'points': []},2
65287280,2,20.0,"(18.24, 21.84)",28.0,10.0,0.32999999999999996,"(-0.05, 0.71)","{'(65287285, 65287280, 0)': 2, '(65287280, 65287277, 0)': 2, '(65287277, 65287280, 0)': 1}","{'whislo': 10, 'q1': 17.25, 'med': 20.5, 'q3': 23.0, 'whishi': 28, 'fliers': []}","{'whislo': 0.0667, 'q1': 0.1167, 'med': 0.2333, 'q3': 0.4, 'whishi': 0.8333, 'fliers': [0.8333]}",26
65287285,-1,19.0,,19.0,19.0,,,{},{'points': [19]},{'points': []},1
65287285,1,5.0,"(1.74, 7.56)",17.0,0.0,0.8203555555555556,"(0.1, 1.54)","{'(65287285, 65287287, 0)': 7, '(65287287, 65287285, 0)': 2}","{'whislo': 0, 'q1': 0.0, 'med': 0.0, 'q3': 9.25, 'whishi': 16, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.15, 'med': 0.8167, 'q3': 1.0833, 'whishi': 3.0333, 'fliers': [3.0333]}",20
65287285,0,10.0,"(2.71, 16.49)",17.0,0.0,0.7167,,"{'(65287287, 65287285, 0)': 1}","{'whislo': 3, 'q1': 6.0, 'med': 9.0, 'q3': 13.0, 'whishi': 17, 'fliers': []}",{'points': [0.7167]},5
65287285,2,7.0,"(5.2, 8.6)",24.0,0.0,0.4166695652173913,"(0.26, 0.57)","{'(65287285, 65287287, 0)': 13, '(65287287, 65287285, 0)': 4, '(65287285, 65347539, 0)': 1, '(65287285, 65287280, 0)': 4, '(65287280, 65287285, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 5.0, 'q3': 13.0, 'whishi': 24, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.125, 'med': 0.2667, 'q3': 0.71665, 'whishi': 1.2167, 'fliers': []}",69
65287287,-1,3.0,"(-3.28, 9.68)",12.0,0.0,0.71665,"(-3.52, 4.95)","{'(65287287, 65287285, 0)': 2}","{'whislo': 0, 'q1': 0.0, 'med': 0.0, 'q3': 4.0, 'whishi': 12, 'fliers': [12]}","{'points': [0.3833, 1.05]}",5
65287287,1,3.0,"(1.81, 4.88)",16.0,0.0,0.33038823529411765,"(0.15, 0.51)","{'(65287285, 65287287, 0)': 7, '(65287287, 65287288, 0)': 8, '(65287288, 65287287, 0)': 1, '(65287287, 65287285, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 0.0, 'q3': 6.5, 'whishi': 13, 'fliers': []}","{'whislo': 0.0167, 'q1': 0.05, 'med': 0.2167, 'q3': 0.35, 'whishi': 1.0333, 'fliers': [1.0333, 1.0167, 0.8167]}",35
65287287,0,4.0,"(0.11, 7.89)",14.0,0.0,0.35835,"(0.18, 0.53)","{'(65287285, 65287287, 0)': 1, '(65287287, 65287288, 0)': 2, '(65287287, 65287285, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 1.5, 'q3': 5.5, 'whishi': 14, 'fliers': [14]}","{'whislo': 0.2, 'q1': 0.325025, 'med': 0.39170000000000005, 'q3': 0.425025, 'whishi': 0.45, 'fliers': []}",10
65287287,2,5.0,"(3.79, 5.78)",19.0,0.0,0.5209999999999999,"(0.4, 0.64)","{'(65287287, 65287288, 0)': 19, '(65287285, 65287287, 0)': 19, '(65287287, 65287285, 0)': 6, '(65325408, 65287287, 0)': 4, '(65287287, 65325408, 0)': 2}","{'whislo': 0, 'q1': 0.0, 'med': 4.0, 'q3': 8.0, 'whishi': 19, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.137475, 'med': 0.39165, 'q3': 0.90835, 'whishi': 1.8333, 'fliers': []}",96
65287288,-1,14.0,"(5.68, 21.65)",17.0,10.0,0.1833,,"{'(65287288, 65287287, 0)': 1}","{'points': [15, 10, 16]}",{'points': [0.1833]},3
65287288,1,11.0,"(7.0, 14.36)",26.0,0.0,0.16999999999999998,"(0.01, 0.33)","{'(65287288, 65352302, 0)': 1, '(65287287, 65287288, 0)': 3, '(65287290, 65287288, 0)': 1}","{'whislo': 0, 'q1': 1.5, 'med': 12.5, 'q3': 15.75, 'whishi': 26, 'fliers': []}","{'whislo': 0.05, 'q1': 0.1, 'med': 0.15, 'q3': 0.1667, 'whishi': 0.3833, 'fliers': [0.3833]}",22
65287288,0,11.0,"(-3.64, 25.64)",20.0,0.0,0.6167,,"{'(65287287, 65287288, 0)': 1}","{'whislo': 0, 'q1': 5.25, 'med': 12.0, 'q3': 17.75, 'whishi': 20, 'fliers': []}",{'points': [0.6167]},4
65287288,2,9.0,"(6.75, 11.48)",22.0,0.0,0.19443333333333335,"(0.03, 0.36)","{'(65287288, 65287290, 0)': 1, '(65287288, 65352302, 0)': 1, '(65352302, 65287288, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 8.0, 'q3': 17.0, 'whishi': 22, 'fliers': []}","{'points': [0.2333, 0.2333, 0.1167]}",44
65287290,-1,22.0,,22.0,22.0,,,{},{'points': [22]},{'points': []},1
65287290,1,23.0,"(15.74, 29.41)",27.0,4.0,0.0333,,"{'(65287290, 65287288, 0)': 1}","{'whislo': 6, 'q1': 24.0, 'med': 25.0, 'q3': 26.0, 'whishi': 27, 'fliers': [6]}",{'points': [0.0333]},7
65287290,0,23.0,"(19.17, 26.49)",27.0,17.0,,,{},"{'whislo': 17, 'q1': 21.5, 'med': 23.5, 'q3': 24.75, 'whishi': 27, 'fliers': []}",{'points': []},6
65287290,2,23.0,"(21.42, 24.33)",32.0,14.0,0.21110000000000004,"(-0.52, 0.94)","{'(65287290, 65287298, 0)': 1, '(65287298, 65287290, 0)': 2}","{'whislo': 14, 'q1': 20.0, 'med': 23.0, 'q3': 25.0, 'whishi': 32, 'fliers': []}","{'points': [0.05, 0.0333, 0.55]}",33
65287298,-1,10.0,"(-97.5, 118.5)",19.0,2.0,,,{},"{'points': [2, 19]}",{'points': []},2
65287298,1,7.0,"(4.23, 9.06)",17.0,0.0,0.3621090909090909,"(0.13, 0.59)","{'(4021607643, 65287298, 0)': 3, '(65287298, 65287290, 0)': 6, '(65315794, 65287298, 0)': 2}","{'whislo': 0, 'q1': 0.0, 'med': 5.0, 'q3': 12.25, 'whishi': 17, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.1, 'med': 0.2333, 'q3': 0.49165000000000003, 'whishi': 1.0167, 'fliers': []}",28
65287298,0,8.0,"(3.72, 12.28)",18.0,0.0,0.58335,"(-4.29, 5.45)","{'(65315794, 65287298, 0)': 1, '(65287298, 65287290, 0)': 1}","{'whislo': 0, 'q1': 4.0, 'med': 9.0, 'q3': 11.0, 'whishi': 18, 'fliers': []}","{'points': [0.2, 0.9667]}",9
65287298,2,8.0,"(6.54, 9.57)",26.0,0.0,0.5578842105263158,"(0.31, 0.81)","{'(65287298, 65287290, 0)': 7, '(4021607643, 65287298, 0)': 6, '(65287290, 65287298, 0)': 1, '(65315794, 65287298, 0)': 4, '(65287298, 4021607643, 0)': 1}","{'whislo': 0, 'q1': 1.0, 'med': 8.0, 'q3': 14.0, 'whishi': 26, 'fliers': []}","{'whislo': 0.0167, 'q1': 0.0833, 'med': 0.5333, 'q3': 0.93335, 'whishi': 2.0, 'fliers': []}",76
65287319,-1,14.0,"(0.65, 28.01)",20.0,9.0,,,{},"{'points': [20, 9, 14]}",{'points': []},3
65287319,1,6.0,"(3.36, 8.64)",17.0,0.0,0.8055666666666667,"(0.15, 1.46)","{'(65287319, 65375419, 0)': 1, '(65287319, 4022924680, 0)': 3, '(65287319, 4022924683, 0)': 2}","{'whislo': 0, 'q1': 2.0, 'med': 5.0, 'q3': 9.0, 'whishi': 17, 'fliers': []}","{'whislo': 0.1, 'q1': 0.3375, 'med': 0.7, 'q3': 1.2625250000000001, 'whishi': 1.6667, 'fliers': []}",17
65287319,0,5.0,"(0.21, 10.23)",21.0,0.0,0.4777666666666667,"(-0.05, 1.01)","{'(65287319, 4022924680, 0)': 3}","{'whislo': 0, 'q1': 1.0, 'med': 3.0, 'q3': 6.0, 'whishi': 21, 'fliers': [21]}","{'points': [0.5667, 0.6333, 0.2333]}",9
65287319,2,7.0,"(5.78, 8.69)",22.0,0.0,0.424475,"(0.28, 0.56)","{'(65287319, 4022924680, 0)': 12, '(65287319, 4022924683, 0)': 9, '(65287319, 65375419, 0)': 9, '(4022924680, 65287319, 0)': 2}","{'whislo': 0, 'q1': 0.75, 'med': 7.0, 'q3': 12.0, 'whishi': 22, 'fliers': []}","{'whislo': 0.0167, 'q1': 0.09582500000000001, 'med': 0.25, 'q3': 0.7583, 'whishi': 1.25, 'fliers': []}",68
65287324,-1,15.0,,15.0,15.0,,,{},{'points': [15]},{'points': []},1
65287324,1,14.0,"(-2.81, 29.81)",24.0,0.0,0.25,,"{'(4022924675, 65287324, 0)': 1}","{'whislo': 0, 'q1': 9.0, 'med': 15.0, 'q3': 19.5, 'whishi': 24, 'fliers': []}",{'points': [0.25]},4
65287324,0,14.0,"(6.38, 21.91)",27.0,0.0,0.1833,,"{'(4022924675, 65287324, 0)': 1}","{'whislo': 0, 'q1': 10.5, 'med': 16.0, 'q3': 17.5, 'whishi': 27, 'fliers': []}",{'points': [0.1833]},7
65287324,2,8.0,"(4.61, 10.82)",29.0,0.0,0.46785714285714286,"(0.24, 0.69)","{'(4022924675, 65287324, 0)': 4, '(65287324, 4022924675, 0)': 2, '(65287324, 4022924683, 0)': 7, '(65287324, 65357831, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 2.0, 'q3': 14.0, 'whishi': 29, 'fliers': []}","{'whislo': 0.0333, 'q1': 0.125025, 'med': 0.48335, 'q3': 0.57915, 'whishi': 1.5167, 'fliers': [1.5167]}",35
65287329,-1,,,,,,,{},{'points': []},{'points': []},0
65287329,1,5.0,"(-17.61, 28.28)",16.0,0.0,0.925,"(-9.98, 11.83)","{'(65287329, 258756009, 0)': 2}","{'points': [0, 0, 16]}","{'points': [0.0667, 1.7833]}",3
65287329,0,9.0,"(-16.04, 34.71)",21.0,2.0,,,{},"{'points': [5, 2, 21]}",{'points': []},3
65287329,2,10.0,"(6.83, 12.51)",32.0,0.0,0.4074,"(0.05, 0.76)","{'(4022924668, 65287329, 0)': 3, '(65287329, 258756009, 0)': 5, '(65287329, 4022924668, 0)': 1}","{'whislo': 0, 'q1': 2.0, 'med': 9.0, 'q3': 15.0, 'whishi': 32, 'fliers': []}","{'whislo': 0.0833, 'q1': 0.1, 'med': 0.1833, 'q3': 0.5667, 'whishi': 1.3667, 'fliers': [1.3667]}",33
65287332,-1,19.0,,19.0,19.0,,,{},{'points': [19]},{'points': []},1
65287332,1,3.0,,6.0,0.0,0.1833,,"{'(65287336, 65287332, 0)': 1}",{'points': [3]},{'points': [0.1833]},1
65287332,0,3.0,"(-3.57, 9.57)",8.0,0.0,0.1,,"{'(65287336, 65287332, 0)': 1}","{'points': [5, 0, 4]}",{'points': [0.1]},3
65287332,2,8.0,"(2.09, 13.74)",21.0,0.0,0.05,,"{'(65287336, 65287332, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 2.5, 'q3': 17.25, 'whishi': 21, 'fliers': []}",{'points': [0.05]},12
65287336,-1,0.0,,0.0,0.0,,,{},{'points': [0]},{'points': []},1
65287336,1,16.0,,16.0,16.0,,,{},{'points': [16]},{'points': []},1
65287336,0,11.0,"(2.82, 20.04)",24.0,2.0,,,{},"{'whislo': 2, 'q1': 2.5, 'med': 12.0, 'q3': 18.5, 'whishi': 24, 'fliers': []}",{'points': []},7
